iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
FJI,Fiji,Oceania,Melanesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
FRA,France,Europe,Western Europe,location,National,Dietary needs,0.78,85.06,10.62,137.32,3.1,0.08,0.06,7.59,49.53,3.74,0.11,99.35,0,116.44,17.64
FRA,France,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
FSM,Micronesia (Federated States of),Oceania,Micronesia,location,National,Dietary needs,0.24,73.75,16.09,16.33,0.02,0.03,0.02,0.64,14.89,2.59,0.15,96.85,0,59.67,17.14
FSM,Micronesia (Federated States of),Oceania,Micronesia,location,Regional,Dietary needs,0.61,97,18.28,171.73,4.67,0.09,0.03,4.47,56.52,2.93,0.12,67.97,0.01,125.79,23.49
GAB,Gabon,Africa,Middle Africa,location,National,Dietary needs,0.3,202.85,44.34,26.84,3.81,0.06,0.02,1.62,14.96,3.35,0.05,89.04,0,84.68,23.65
GAB,Gabon,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,location,National,Dietary needs,0.77,84.87,15.01,169.56,3.49,0.08,0.05,11.11,31.37,2.87,0.09,67.35,0.01,142.53,32.86
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
GEO,Georgia,Asia,Western Asia,location,National,Dietary needs,0.61,61.81,1.96,36.92,3.25,0.04,0.04,1.39,16.95,4.75,0.06,94.11,0.01,135.07,21.16
GEO,Georgia,Asia,Western Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
GHA,Ghana,Africa,Western Africa,location,National,Dietary needs,0.34,244.82,38.79,8.54,1.3,0.03,0.01,1.01,4.43,2.48,0.05,86.67,0,74.83,32.63
GHA,Ghana,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GIN,Guinea,Africa,Western Africa,location,National,Dietary needs,0.22,126.19,42.19,13.3,0.14,0.01,0.01,0.63,5.99,2.7,0.08,89.82,0,98.87,26.21
GIN,Guinea,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GMB,Gambia,Africa,Western Africa,location,National,Dietary needs,0.26,12.72,32.06,31.58,1.56,0.01,0.04,0.67,4.1,2.7,0.08,98.46,0,65.96,28.53
GMB,Gambia,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GNB,Guinea-Bissau,Africa,Western Africa,location,National,Dietary needs,0.16,69.98,22.47,15.01,1.48,0.01,0.05,0.62,13.24,2.7,0.11,87.75,0,39.05,25.84
GNB,Guinea-Bissau,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GNQ,Equatorial Guinea,Africa,Middle Africa,location,National,Dietary needs,0.5,203.99,62.58,38.16,7.57,0.11,0.03,2.91,23.71,3.35,0.07,96.76,0,159.96,21.53
GNQ,Equatorial Guinea,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
GRC,Greece,Europe,Southern Europe,location,National,Dietary needs,0.83,171.4,20.87,113.91,5.04,0.05,0.04,3.18,47.19,4.19,0.1,90.98,0,249.67,34.16
GRC,Greece,Europe,Southern Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
GRD,Grenada,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,0.35,107.98,27.49,52.53,0.61,0.08,0.09,1.2,15.44,3.1,0.1,188.72,0,83.37,92.57
GRD,Grenada,Latin America and the Caribbean,Caribbean,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
GTM,Guatemala,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.32,87.78,70.76,44.6,2.84,0.05,0.07,0.91,9.66,2.31,0.06,320.73,0,109.41,174.28
